BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2024-01-26,Сбербанк,SBER,34378,3039687676.7,273.1,272.21,273.72,273.12,273.08,272.65,11131250,273.13,273.13,,2532440217.1,2532440217.1,,0,3,SUR,-0.06
SMAL,2024-01-29,Сбербанк,SBER,21,19674.73,272.3,272.3,275.0,,274.14,274.97,72,,,,0.0,0.0,,0,3,SUR,0.17
TQBR,2024-01-29,Сбербанк,SBER,51155,4686446978.0,273.02,272.7,274.95,273.73,274.14,274.05,17095190,274.15,274.15,,4178976022.4,4178976022.4,,0,3,SUR,0.51
SMAL,2024-01-30,Сбербанк,SBER,38,31215.5,274.98,272.5,276.89,,275.76,274.5,114,,,,0.0,0.0,,0,3,SUR,-0.17
TQBR,2024-01-30,Сбербанк,SBER,72144,7510055141.5,274.01,273.97,277.25,274.71,275.76,275.67,27236150,275.78,275.78,,6971668736.9,6971668736.9,,0,3,SUR,0.59
SMAL,2024-01-31,Сбербанк,SBER,27,22021.08,277.0,274.0,277.99,,275.69,276.61,80,,,,0.0,0.0,,0,3,SUR,0.77
TQBR,2024-01-31,Сбербанк,SBER,38489,3458231052.6,275.84,275.0,276.45,275.9,275.69,276.0,12543740,275.66,275.66,,3067447664.3,3067447664.3,,0,3,SUR,0.12
SMAL,2024-02-01,Сбербанк,SBER,30,18523.54,276.97,274.89,277.69,,276.91,275.5,67,,,,0.0,0.0,,0,3,SUR,-0.4
TQBR,2024-02-01,Сбербанк,SBER,45483,4424105623.2,276.03,275.93,277.75,277.0,276.91,276.86,15976730,276.92,276.92,,3844014097.6,3844014097.6,,0,3,SUR,0.31
SMAL,2024-02-02,Сбербанк,SBER,26,19082.14,278.99,274.29,278.99,,276.57,277.91,69,,,,0.0,0.0,,0,3,SUR,0.87
TQBR,2024-02-02,Сбербанк,SBER,41139,3517688565.9,277.0,276.0,277.3,276.51,276.57,276.74,12718190,276.59,276.59,,2899319884.3,2899319884.3,,0,3,SUR,-0.04
SMAL,2024-02-05,Сбербанк,SBER,28,24430.85,283.0,276.95,283.0,,277.71,278.99,88,,,,0.0,0.0,,0,3,SUR,0.39
TQBR,2024-02-05,Сбербанк,SBER,47728,4459688600.3,277.0,276.9,278.57,277.26,277.71,277.84,16056990,277.74,277.74,,4131812969.7,4131812969.7,,0,3,SUR,0.4
SMAL,2024-02-06,Сбербанк,SBER,24,18107.5,284.0,276.96,284.59,,278.27,277.5,65,,,,0.0,0.0,,0,3,SUR,-0.53
TQBR,2024-02-06,Сбербанк,SBER,55417,4441542937.6,278.0,277.3,278.99,278.75,278.27,278.67,15960270,278.24,278.24,,3873172824.7,3873172824.7,,0,3,SUR,0.3
